address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingIncludedInprice,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
Calle de Bravo Murillo,1,es,{'typology': 'flat'},1273,Tetuán,True,BFBM-V204,1,True,False,True,False,False,40.4586278,-3.7022244,Madrid,Berruguete,False,25,sale,True,True,239990.0,4615.0,84376563,flat,Madrid,1,False,52.0,good,"{'subtitle': 'Berruguete, Madrid', 'title': 'Piso en Calle de Bravo Murillo'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/a4/c7/637728257.jpg,https://www.idealista.com/inmueble/84376563/
barrio Gaztambide,3,es,{'typology': 'flat'},1145,Chamberí,True,cm-423148,2,False,False,True,True,True,40.4402827,-3.7110576,Madrid,Gaztambide,False,41,sale,True,True,1150000.0,4228.0,84232398,flat,Madrid,4,False,272.0,good,"{'subtitle': 'Gaztambide, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/d2/5c/634640959.jpg,https://www.idealista.com/inmueble/84232398/
barrio Cuatro Caminos,2,es,{'typology': 'flat'},1195,Tetuán,True,ch-423180,5,False,False,True,True,True,40.4527807,-3.6990213,Madrid,Cuatro Caminos,False,41,sale,,,850000.0,3953.0,84120886,flat,Madrid,5,False,215.0,renew,"{'subtitle': 'Cuatro Caminos, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/15/41/633598049.jpg,https://www.idealista.com/inmueble/84120886/
barrio Vallehermoso,5,es,{'typology': 'flat'},1043,Chamberí,True,EOR24139,5,False,False,True,True,True,40.44136,-3.71568,Madrid,Vallehermoso,False,44,sale,True,True,1650000.0,4484.0,83898015,flat,Madrid,5,False,368.0,renew,"{'subtitle': 'Vallehermoso, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/a0/7b/630263298.jpg,https://www.idealista.com/inmueble/83898015/
Calle Guzmán el Bueno,3,es,{'typology': 'flat'},1161,Chamberí,True,MD5D1V31,6,True,False,True,True,True,40.4401103,-3.7112918,Madrid,Vallehermoso,False,40,sale,,,1070000.0,4458.0,83258154,flat,Madrid,4,False,240.0,good,"{'subtitle': 'Vallehermoso, Madrid', 'title': 'Piso en Calle Guzmán el Bueno'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/51/04/614553799.jpg,https://www.idealista.com/inmueble/83258154/
barrio Nuevos Ministerios-Ríos Rosas,2,es,"{'typology': 'flat', 'subTypology': 'duplex'}",1198,Chamberí,True,W-02DTUO,5,False,False,True,True,True,40.4466627,-3.6995861,Madrid,Nuevos Ministerios-Ríos Rosas,False,33,sale,False,True,960000.0,4683.0,83214456,duplex,Madrid,4,False,205.0,good,"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Dúplex'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/57/02/631425153.jpg,https://www.idealista.com/inmueble/83214456/
Calle Serrallo,1,es,{'typology': 'flat'},1478,Tetuán,True,MD3A10V01,4,True,False,True,True,True,40.4618319,-3.7036912,Madrid,Berruguete,False,41,sale,,,250000.0,3731.0,84251134,flat,Madrid,3,False,67.0,good,"{'subtitle': 'Berruguete, Madrid', 'title': 'Piso en Calle Serrallo'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/f1/ff/635015424.jpg,https://www.idealista.com/inmueble/84251134/
barrio Nuevos Ministerios-Ríos Rosas,2,es,{'typology': 'flat'},1097,Chamberí,True,W-02EP2B,4,True,False,True,True,True,40.4432889,-3.7039584,Madrid,Nuevos Ministerios-Ríos Rosas,False,45,sale,,,495000.0,4420.0,83957889,flat,Madrid,4,False,112.0,renew,"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/1a/24/629595921.jpg,https://www.idealista.com/inmueble/83957889/
barrio Vallehermoso,3,es,{'typology': 'flat'},1100,Chamberí,True,cm-423149,2,True,False,True,True,False,40.4406376,-3.711699,Madrid,Vallehermoso,False,40,sale,,,750000.0,4167.0,83856505,flat,Madrid,5,False,180.0,renew,"{'subtitle': 'Vallehermoso, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/f4/05/627182016.jpg,https://www.idealista.com/inmueble/83856505/
barrio Nuevos Ministerios-Ríos Rosas,3,es,{'typology': 'flat'},1116,Chamberí,True,cm-423098,4,True,False,True,True,False,40.4435012,-3.7033497,Madrid,Nuevos Ministerios-Ríos Rosas,False,40,sale,True,True,875000.0,4630.0,83564774,flat,Madrid,4,False,189.0,renew,"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/ef/ae/621459414.jpg,https://www.idealista.com/inmueble/83564774/
